,name,city,content,score,date
0,凌睿,江苏南京,"又名《当王思聪是怎样一种体验》，表面上是喜剧片，其实内在无比黑暗。
有钱可以让最高傲强势的经理俯首帖耳，可以让最思想崇高的教育家唯命是从，可以让股神陪你吃饭，可以让王力宏去你家开演唱会。
但有钱同样也可以让你实现最不可能实现的梦想，可以让你追到最不可能追到的女生，可以让你和高不可攀的球队踢球，可以让你在朋友有生命危险的时候有能力救Ta。
钱是王八蛋，钱也是救命药。
有钱之后瞎几把投的股票都可以增值，瞎几把投的项目都可以爆赚，钱像有繁殖能力一样越用越多。
但这又怎样呢？那些告诉你“钱不重要”“平平淡淡才是真”的电影只是毒鸡汤，这种提倡“钱很重要、有钱可以做想做的事、有钱可以提高实现梦想的几率”、号召大家认真工作努力赚钱的电影不才是正确的价值观吗？
电影只是说了人人都知道，但人人都不愿意接受的事。",推荐,2018-07-27
1,无耻不混蛋,北京,丧了一个夏天，终于有一部，能让我全程爆笑的电影了。【开心麻花出品，必属“黑马”】。求以后每年暑假，都来一部吧。影片的彩蛋极多。包括：被换掉的马丽，将以“冬梅大桥”出现在片中。通过本片，开心麻花或将建立属于自己的“喜剧宇宙”。恭喜沈腾，他已经找到了扮演喜剧人物的最佳节奏与分寸感。,推荐,2018-07-25
2,小烨,北京,恶俗，闹剧。全片的笑点都很俗，故事主线略等于没有。拜金没有错，但用学狗叫来表现拜金那一段真的把我惊呆了。用足球梦想煽情太过度，尴尬出天际。我很想为了LGBT多给一颗星，但一想到里面恶俗的点臣妾就做不到啊。一颗星给宋芸桦和王力宏。,很差,2018-07-24
3,唐朝,北京,开心麻花片子的老问题，剧情分裂，建立一个设定猛耍宝，很多耍宝很 low很常用，没有新意。为了好玩好笑，剧情发展差点也无所谓了。连情节中最基本的时间概念也没考虑使用，做做文章。,较差,2018-07-25
4,掉线,北京,【C】对我而言，最大的看点就是看男主肆无忌惮的挥霍财产，给穷屌丝我一种起点爽文的生理快感，但这个快感很快随着行为的重复而削弱。而在该进入到正经的煽情与讽刺环节时，垮了，球场戏尬到我将头扭向一边。剧本其实有出彩的点，但导演所选取的展现方过于浮夸，这种浮夸在笑点上是有用的，但却让电影天马行空到有些不可理喻，难以共情。夏洛特烦恼也不写实，也舞台化，但至少还有那接地气的一碗面。西虹市只有钱，飘满天的钱，但钱多了，也就不值钱了。,还行,2018-07-25
5,metaphor17,北京,连羞羞的铁拳这样的完成度都达不到，只剩YY和恶俗，像是吃了一口屎还噎在喉咙里……,很差,2018-07-24
6,贝加尔海豹, ,尴尬到极点的笑点，波浪线一样的剧情,很差,2018-07-26
7,陆支羽,北京,1.从黑马缔造者到国产喜剧王牌，开心麻花再一次撑起野心。2.这场“花钱也累”的自嗨白日梦，显然比当年的《夏洛特烦恼》更疯狂更荒诞，也更深入对人性的讨伐。3.沈腾的喜剧天赋真的无法复刻，无论为己谋利还是替人圆梦，每一个笑点都打磨得恰到好处。4.用宋芸桦做女主角，本身便是个反差萌的大惊喜，而不仅仅是小幸运。,推荐,2018-07-24
8,朝阳区陆依萍,北京,太难看了！真的难看了！比春晚小品和《阿修罗》都难看！给《羞羞的铁拳》提鞋都不配啊！#终于知道为什么王力宏演唱会门票3折都卖不出去#,很差,2018-07-24
9,米蘭暖暖, ,把低俗当喜剧，难看至极。隔靴搔痒的电影，除了哗众取宠还有什么？给一分是因为豆瓣没有办法打零分。,很差,2018-07-26
10,津五渡,北京,整体水准而言，尚不及铁拳，把给铁拳的长评移过来都不用怎么改。笑点依旧是小品似的片段笑点，都靠以沈腾为主的麻花们撑，一盘散沙。对资本的戏谑与讽刺，是闪光的点，可惜仅仅是一闪，如果是有意为之，就比较可惜。,较差,2018-07-24
11,电影谷sir,北京,还真有西虹市影视公司呀！,力荐,2018-07-27
